CODIGO;A„O ESCOLAR;GRADO;ASIGNATURA;NUMERO DE PERIODO;RESULTADO
20032028;2017-2018;12;Estadistica;4;82
20032028;2017-2018;12;Filosofia;1;93
20032028;2017-2018;12;Filosofia;2;90
20032028;2017-2018;12;Filosofia;3;94
20032028;2017-2018;12;Filosofia;4;90
20032028;2017-2018;12;Ingles;1;94
20032028;2017-2018;12;Ingles;2;91
20032028;2017-2018;12;Ingles;3;80
20032028;2017-2018;12;Ingles;4;84
20032028;2017-2018;12;Disciplina;1;100
20032028;2017-2018;12;Disciplina;2;93
20032028;2017-2018;12;Disciplina;3;98
20032028;2017-2018;12;Disciplina;4;97
20032029;2017-2018;12;Matematicas;1;81
20032029;2017-2018;12;Matematicas;2;76
20032029;2017-2018;12;Matematicas;3;84
20032029;2017-2018;12;Matematicas;4;77
20032029;2017-2018;12;Fisica;1;84
20032029;2017-2018;12;Fisica;2;86
20032029;2017-2018;12;Fisica;3;83
20032029;2017-2018;12;Fisica;4;76
20032029;2017-2018;12;Quimica;1;80
20032029;2017-2018;12;Quimica;2;74
20032029;2017-2018;12;Quimica;3;83
20032029;2017-2018;12;Quimica;4;78
20032029;2017-2018;12;Ciencias Sociales;1;92
20032029;2017-2018;12;Ciencias Sociales;2;88
20032029;2017-2018;12;Ciencias Sociales;3;88
20032029;2017-2018;12;Ciencias Sociales;4;89
20032029;2017-2018;12;Economia;1;95
20032029;2017-2018;12;Economia;2;90
20032029;2017-2018;12;Economia;3;95
20032029;2017-2018;12;Economia;4;93
20032029;2017-2018;12;Espa–ol;1;89
20032029;2017-2018;12;Espa–ol;2;83
20032029;2017-2018;12;Espa–ol;3;80
20032029;2017-2018;12;Espa–ol;4;85
20032029;2017-2018;12;Estadistica;1;95
20032029;2017-2018;12;Estadistica;2;89
20032029;2017-2018;12;Estadistica;3;77
20032029;2017-2018;12;Estadistica;4;61
20032029;2017-2018;12;Filosofia;1;96
